text,label
"price worth anipinchindi, so overall very satisfied. 👏",positive
"😊 second half boring ga undi still acting excellent ga chesaru, so definitely recommend chestha.",positive
"👏 price worth anipinchindi, so overall very satisfied.",positive
"staff rude ga behave chesaru, so totally disappointed. 😡",negative
"🤔 experience normal ga undi, so average experience overall.",neutral
"😶 service normal ga undi, so it was fine.",neutral
"staff friendly ga behave chesaru, so overall very satisfied. 💯",positive
"😐 story average ga undi, so average experience overall.",neutral
"doctors polite ga matladaru but staff rude ga behave chesaru, so not worth the money. 👎",negative
"story weak ga undi kani story interesting ga undi, so worth the money. 💯",positive
"treatment effective ga undi, so worth the money. 💯",positive
"food cold ga serve chesaru, so very bad experience. 😤",negative
"time pass movie, so nothing much to say. 🤔",neutral
"story interesting ga undi, so overall very satisfied. 👍",positive
"waiting time chala ekkuva undi, so not worth the money. 😡",negative
"staff friendly ga behave chesaru, so worth the money. 😊",positive
"😍 story interesting ga undi, so worth the money.",positive
"food taste super ga undi, so happy with the service. 👍",positive
"food cold ga serve chesaru, so totally disappointed. 😡",negative
"😐 service normal ga undi, so it was fine.",neutral
"product quality chala bagundi, so definitely recommend chestha. 👏",positive
"👎 second half boring ga undi, so inka try cheyanu.",negative
"😤 customer support respond cheyyaledu, so not worth the money.",negative
"😡 billing charges ekkuva anipinchayi, so totally disappointed.",negative
"delivery chala late ayindi, so not worth the money. 👎",negative
"waiting time chala ekkuva undi, so not worth the money. 😡",negative
"🔥 refund process slow ga undi kani packaging neat ga undi, so definitely recommend chestha.",positive
"staff rude ga behave chesaru, so totally disappointed. 😠",negative
"service slow ga undi however service quick ga undi, so happy with the service. 😊",positive
"doctors polite ga matladaru, so happy with the service. 😍",positive
"🔥 story interesting ga undi, so overall very satisfied.",positive
"😊 service slow ga undi however food taste super ga undi, so definitely recommend chestha.",positive
"food taste super ga undi still food cold ga serve chesaru, so totally disappointed. 👎",negative
"😤 food cold ga serve chesaru, so inka try cheyanu.",negative
"💔 staff rude ga behave chesaru, so totally disappointed.",negative
"😐 delivery normal time lo vachindi, so average experience overall.",neutral
"👍 food cold ga serve chesaru still food taste super ga undi, so worth the money.",positive
"💯 price worth anipinchindi, so worth the money.",positive
"billing charges ekkuva anipinchayi, so inka try cheyanu. 😤",negative
"🤔 service okay ga undi, so it was fine.",neutral
"🤦 second half boring ga undi, so very bad experience.",negative
"😡 length ekkuva undi, so inka try cheyanu.",negative
"story weak ga undi kani music chala bagundi, so worth the money. 😍",positive
"🔥 food taste super ga undi, so definitely recommend chestha.",positive
"story interesting ga undi kani story weak ga undi, so totally disappointed. 😠",negative
"🤦 waiting time chala ekkuva undi, so inka try cheyanu.",negative
"😤 length ekkuva undi, so very bad experience.",negative
"🙂 product okay ga undi, so average experience overall.",neutral
"price worth anipinchindi, so overall very satisfied. 💯",positive
"price worth anipinchindi, so worth the money. 👏",positive
"😶 story average ga undi, so nothing much to say.",neutral
"😐 movie okay ga undi, so average experience overall.",neutral
"second half boring ga undi, so very bad experience. 👎",negative
"😡 delivery chala late ayindi, so not worth the money.",negative
"doctors polite ga matladaru, so overall very satisfied. 🔥",positive
"service quick ga undi, so definitely recommend chestha. 😍",positive
"🤦 food cold ga serve chesaru, so totally disappointed.",negative
"😐 movie okay ga undi, so average experience overall.",neutral
"😡 story interesting ga undi still second half boring ga undi, so inka try cheyanu.",negative
"food cold ga serve chesaru however staff friendly ga behave chesaru, so worth the money. 👍",positive
"💯 staff friendly ga behave chesaru, so definitely recommend chestha.",positive
"💔 service slow ga undi, so totally disappointed.",negative
"service slow ga undi kani service quick ga undi, so worth the money. 💯",positive
"💯 staff caring ga behave chesaru, so overall very satisfied.",positive
"😶 delivery normal time lo vachindi, so it was fine.",neutral
"👏 length ekkuva undi kani music chala bagundi, so definitely recommend chestha.",positive
"😐 food average ga undi, so average experience overall.",neutral
"😊 staff caring ga behave chesaru, so worth the money.",positive
"👎 length ekkuva undi, so inka try cheyanu.",negative
"😐 story average ga undi, so nothing much to say.",neutral
"second half boring ga undi, so inka try cheyanu. 👎",negative
"product damaged ga vachindi, so inka try cheyanu. 😤",negative
"staff caring ga behave chesaru still staff rude ga behave chesaru, so inka try cheyanu. 😠",negative
"waiting time chala ekkuva undi but staff caring ga behave chesaru, so overall very satisfied. 👍",positive
"refund process slow ga undi still price worth anipinchindi, so happy with the service. 😊",positive
"treatment okay ga undi, so it was fine. 😐",neutral
"billing charges ekkuva anipinchayi, so inka try cheyanu. 😤",negative
"service slow ga undi, so very bad experience. 👎",negative
"waiting time chala ekkuva undi still staff caring ga behave chesaru, so overall very satisfied. 😊",positive
"😊 doctors polite ga matladaru, so worth the money.",positive
"😊 second half boring ga undi still acting excellent ga chesaru, so definitely recommend chestha.",positive
"🙂 quality average ga undi, so nothing much to say.",neutral
"🤦 food cold ga serve chesaru, so totally disappointed.",negative
"product damaged ga vachindi, so totally disappointed. 💔",negative
"refund process slow ga undi still price worth anipinchindi, so definitely recommend chestha. 👍",positive
"experience average, so it was fine. 🤔",neutral
"price ekkuva anipinchindi, so totally disappointed. 👎",negative
"😤 service slow ga undi, so inka try cheyanu.",negative
"🤔 time pass movie, so it was fine.",neutral
"billing charges ekkuva anipinchayi, so totally disappointed. 😠",negative
"💔 food taste super ga undi however service slow ga undi, so inka try cheyanu.",negative
"waiting time chala ekkuva undi kani staff caring ga behave chesaru, so happy with the service. 😍",positive
"😡 staff rude ga behave chesaru, so very bad experience.",negative
"length ekkuva undi, so very bad experience. 🤦",negative
"treatment effective ga undi still billing charges ekkuva anipinchayi, so very bad experience. 🤦",negative
"🤔 time pass movie, so it was fine.",neutral
"🤔 delivery normal time lo vachindi, so nothing much to say.",neutral
"👍 refund process slow ga undi kani product quality chala bagundi, so worth the money.",positive
"product damaged ga vachindi still product quality chala bagundi, so worth the money. 👏",positive
"billing charges ekkuva anipinchayi, so totally disappointed. 💔",negative
"delivery normal time lo vachindi, so average experience overall. 🙂",neutral
"😠 treatment effective ga undi kani billing charges ekkuva anipinchayi, so totally disappointed.",negative
"👎 price worth anipinchindi but customer support respond cheyyaledu, so totally disappointed.",negative
"customer support respond cheyyaledu, so very bad experience. 😡",negative
"food average ga undi, so it was fine. 😐",neutral
"😠 refund process slow ga undi, so not worth the money.",negative
"💔 staff caring ga behave chesaru but staff rude ga behave chesaru, so totally disappointed.",negative
"staff caring ga behave chesaru, so happy with the service. 👍",positive
"service okay ga undi, so average experience overall. 😶",neutral
"🤔 experience average, so average experience overall.",neutral
"food cold ga serve chesaru, so not worth the money. 👎",negative
"💯 music chala bagundi, so worth the money.",positive
"😊 service quick ga undi, so definitely recommend chestha.",positive
"delivery fast ga vachindi, so happy with the service. 👍",positive
"🙂 food average ga undi, so nothing much to say.",neutral
"experience average, so nothing much to say. 😐",neutral
"product okay ga undi, so nothing much to say. 🙂",neutral
"music chala bagundi still second half boring ga undi, so not worth the money. 😠",negative
"🔥 price ekkuva anipinchindi but staff friendly ga behave chesaru, so worth the money.",positive
"staff rude ga behave chesaru kani doctors polite ga matladaru, so overall very satisfied. 👍",positive
"😶 quality average ga undi, so nothing much to say.",neutral
"😤 second half boring ga undi, so not worth the money.",negative
"😶 time pass movie, so nothing much to say.",neutral
"doctors polite ga matladaru, so worth the money. 👍",positive
"🤦 refund process slow ga undi, so inka try cheyanu.",negative
"😠 refund process slow ga undi, so not worth the money.",negative
"💔 billing charges ekkuva anipinchayi, so inka try cheyanu.",negative
"😶 quality average ga undi, so it was fine.",neutral
"experience normal ga undi, so average experience overall. 😐",neutral
"packaging neat ga undi, so definitely recommend chestha. 😍",positive
"🤦 billing charges ekkuva anipinchayi, so not worth the money.",negative
"price ekkuva anipinchindi, so inka try cheyanu. 😤",negative
"product okay ga undi, so nothing much to say. 🙂",neutral
"packaging neat ga undi however customer support respond cheyyaledu, so not worth the money. 😤",negative
"service okay ga undi, so nothing much to say. 🤔",neutral
"👏 packaging neat ga undi, so definitely recommend chestha.",positive
