text,label
"service fast thi, so definitely recommend karunga. 😊",positive
"🔥 packaging neat thi, so overall bahut satisfied.",positive
"👍 food taste bahut mast tha, so worth the money.",positive
"👏 product damaged aaya still delivery fast thi, so definitely recommend karunga.",positive
"price zyada laga, so not worth it. 😡",negative
"👏 packaging neat thi, so definitely recommend karunga.",positive
"packaging neat thi but customer support ne reply nahi kiya, so bahut disappointed. 😤",negative
"🔥 price worth laga, so worth the money.",positive
"😡 food thanda serve kiya, so not worth it.",negative
"😊 doctor polite the, so overall bahut satisfied.",positive
"price zyada laga, so bahut disappointed. 🤦",negative
"movie bahut lambi thi, so not worth it. 😠",negative
"😤 customer support ne reply nahi kiya, so dubara try nahi karunga.",negative
"staff rude tha still treatment effective tha, so worth the money. 😊",positive
"😶 time pass movie thi, so average experience overall.",neutral
"movie bahut lambi thi, so bahut disappointed. 💔",negative
"product okay tha, so nothing special. 🙂",neutral
"delivery normal time par aayi, so average experience overall. 😶",neutral
"price zyada laga, so bahut disappointed. 🤦",negative
"price worth laga, so overall bahut satisfied. 💯",positive
"service slow thi still food taste bahut mast tha, so overall bahut satisfied. 😊",positive
"💔 movie bahut lambi thi, so not worth it.",negative
"😠 movie bahut lambi thi, so bahut disappointed.",negative
"🤦 billing charges zyada the, so not worth it.",negative
"story interesting thi, so definitely recommend karunga. 😍",positive
"waiting time bahut zyada tha, so not worth it. 😠",negative
"👎 food thanda serve kiya, so bahut disappointed.",negative
"😡 second half boring tha, so dubara try nahi karunga.",negative
"😊 price worth laga, so worth the money.",positive
"food taste bahut mast tha but food thanda serve kiya, so not worth it. 😠",negative
"😡 customer support ne reply nahi kiya, so bahut disappointed.",negative
"refund process slow tha, so not worth it. 😠",negative
"service theek thi, so average experience overall. 🙂",neutral
"price zyada laga, so dubara try nahi karunga. 😡",negative
"music bahut achha tha, so definitely recommend karunga. 💯",positive
"🤦 staff rude tha, so dubara try nahi karunga.",negative
"second half boring tha, so not worth it. 😠",negative
"service slow thi, so dubara try nahi karunga. 💔",negative
"🤔 experience average tha, so nothing special.",neutral
"product damaged aaya, so not worth it. 😡",negative
"🤦 customer support ne reply nahi kiya, so not worth it.",negative
"price zyada laga, so bahut disappointed. 😤",negative
"😡 food taste bahut mast tha still price zyada laga, so bahut disappointed.",negative
"quality average thi, so nothing special. 😐",neutral
"movie okay thi, so theek tha. 😶",neutral
"staff rude tha, so bahut disappointed. 😤",negative
"customer support ne reply nahi kiya, so dubara try nahi karunga. 👎",negative
"🔥 acting excellent thi, so definitely recommend karunga.",positive
"🔥 acting excellent thi, so overall bahut satisfied.",positive
"👍 refund process slow tha lekin packaging neat thi, so overall bahut satisfied.",positive
"service fast thi, so definitely recommend karunga. 😊",positive
"music bahut achha tha, so overall bahut satisfied. 👍",positive
"🤔 treatment okay tha, so theek tha.",neutral
"customer support ne reply nahi kiya, so not worth it. 💔",negative
"story weak thi, so not worth it. 💔",negative
"👎 story weak thi, so dubara try nahi karunga.",negative
"price zyada laga, so bahut disappointed. 😡",negative
"👎 acting excellent thi still story weak thi, so bahut disappointed.",negative
"😍 delivery bahut late thi however product quality bahut achha hai, so definitely recommend karunga.",positive
"customer support ne reply nahi kiya however delivery fast thi, so worth the money. 🔥",positive
"food thanda serve kiya lekin service fast thi, so overall bahut satisfied. 💯",positive
"🔥 staff rude tha still treatment effective tha, so definitely recommend karunga.",positive
"😐 food average tha, so average experience overall.",neutral
"doctor polite the, so worth the money. 😊",positive
"staff rude tha lekin treatment effective tha, so definitely recommend karunga. 👏",positive
"acting excellent thi, so definitely recommend karunga. 🔥",positive
"service normal thi, so average experience overall. 😐",neutral
"🙂 product okay tha, so nothing special.",neutral
"😤 doctor polite the but billing charges zyada the, so bahut disappointed.",negative
"staff friendly the, so overall bahut satisfied. 🔥",positive
"experience normal tha, so average experience overall. 🙂",neutral
"😤 food thanda serve kiya, so dubara try nahi karunga.",negative
"😊 music bahut achha tha, so overall bahut satisfied.",positive
"service normal thi, so average experience overall. 🤔",neutral
"😡 delivery bahut late thi, so dubara try nahi karunga.",negative
"🔥 treatment effective tha, so worth the money.",positive
"💔 customer support ne reply nahi kiya, so not worth it.",negative
"🤦 billing charges zyada the, so dubara try nahi karunga.",negative
"customer support ne reply nahi kiya, so not worth it. 😤",negative
"doctor polite the lekin billing charges zyada the, so bahut disappointed. 👎",negative
"treatment okay tha, so average experience overall. 😶",neutral
"🙂 product okay tha, so nothing special.",neutral
"time pass movie thi, so theek tha. 🙂",neutral
"delivery bahut late thi, so not worth it. 😤",negative
"experience normal tha, so theek tha. 🙂",neutral
"movie okay thi, so theek tha. 😐",neutral
"😊 delivery fast thi, so overall bahut satisfied.",positive
"👎 product damaged aaya, so not worth it.",negative
"😡 staff rude tha, so dubara try nahi karunga.",negative
"food thanda serve kiya, so not worth it. 😤",negative
"🤔 movie okay thi, so nothing special.",neutral
"staff caring tha lekin billing charges zyada the, so dubara try nahi karunga. 😡",negative
"😊 story weak thi however music bahut achha tha, so overall bahut satisfied.",positive
"🙂 quality average thi, so theek tha.",neutral
"story weak thi but story interesting thi, so definitely recommend karunga. 🔥",positive
"story average thi, so nothing special. 😐",neutral
