text,label
"service slow chilo, so abar try korbo na. 👎",negative
"waiting time onek beshi chilo, so abar try korbo na. 😤",negative
"service slow chilo, so khub disappointed. 😡",negative
"food taste darun chilo, so overall khub satisfied. 😍",positive
"story weak chilo, so abar try korbo na. 😤",negative
"customer support reply koreni, so khub disappointed. 😡",negative
"staff rude chilo, so not worth it. 🤦",negative
"music khub bhalo, so worth the money. 💯",positive
"service slow chilo, so khub disappointed. 👎",negative
"story khub interesting chilo, so worth the money. 👍",positive
"billing charge beshi chilo, so abar try korbo na. 😡",negative
"service slow chilo, so abar try korbo na. 💔",negative
"experience normal chilo, so average overall. 😐",neutral
"staff caring chilo, so worth the money. 😊",positive
"delivery taratari esheche, so definitely recommend korbo. 😍",positive
"acting darun chilo, so definitely recommend korbo. 😍",positive
"service thik chilo, so nothing special. 🤔",neutral
"delivery taratari esheche, so overall khub satisfied. 😍",positive
"movie okay chilo, so thik chilo. 🤔",neutral
"waiting time onek beshi chilo, so abar try korbo na. 😡",negative
"acting darun chilo, so overall khub satisfied. 💯",positive
"service normal chilo, so nothing special. 🤔",neutral
"delivery taratari esheche, so worth the money. 🔥",positive
"story average chilo, so nothing special. 😶",neutral
"price worth mone holo, so worth the money. 💯",positive
"price beshi mone holo, so abar try korbo na. 🤦",negative
"food thanda chilo, so khub disappointed. 🤦",negative
"waiting time onek beshi chilo, so khub disappointed. 💔",negative
"service thik chilo, so average overall. 😶",neutral
"service fast chilo, so overall khub satisfied. 😊",positive
"experience normal chilo, so average overall. 🤔",neutral
"story weak chilo, so not worth it. 😠",negative
"waiting time onek beshi chilo, so not worth it. 😡",negative
"product okay chilo, so nothing special. 🤔",neutral
"product quality khub bhalo, so overall khub satisfied. 👏",positive
"product okay chilo, so nothing special. 😐",neutral
"product damaged esheche, so khub disappointed. 🤦",negative
"second half boring chilo, so abar try korbo na. 👎",negative
"service normal chilo, so nothing special. 😶",neutral
"waiting time onek beshi chilo, so abar try korbo na. 😠",negative
"movie onek lamba chilo, so khub disappointed. 😡",negative
"second half boring chilo, so abar try korbo na. 😤",negative
"service slow chilo, so not worth it. 😡",negative
"acting darun chilo, so worth the money. 😊",positive
"staff friendly chilo, so overall khub satisfied. 👏",positive
"waiting time onek beshi chilo, so not worth it. 😡",negative
"billing charge beshi chilo, so not worth it. 💔",negative
"story khub interesting chilo, so worth the money. 😍",positive
"service fast chilo, so definitely recommend korbo. 💯",positive
"delivery taratari esheche, so worth the money. 👍",positive
"experience normal chilo, so nothing special. 😐",neutral
"price beshi mone holo, so khub disappointed. 👎",negative
"music khub bhalo, so definitely recommend korbo. 👍",positive
"service slow chilo, so khub disappointed. 💔",negative
"billing charge beshi chilo, so khub disappointed. 🤦",negative
"food average chilo, so average overall. 🙂",neutral
"treatment effective chilo, so overall khub satisfied. 👍",positive
"treatment effective chilo, so definitely recommend korbo. 😍",positive
"acting darun chilo, so worth the money. 💯",positive
"food average chilo, so nothing special. 🙂",neutral
"delivery normal time e esheche, so thik chilo. 😶",neutral
"quality average chilo, so average overall. 🙂",neutral
"product quality khub bhalo, so overall khub satisfied. 👏",positive
"product damaged esheche, so khub disappointed. 😠",negative
"customer support reply koreni, so not worth it. 😤",negative
"billing charge beshi chilo, so not worth it. 😤",negative
"music khub bhalo, so definitely recommend korbo. 👏",positive
"time pass movie, so thik chilo. 😐",neutral
"staff caring chilo, so overall khub satisfied. 👏",positive
"treatment effective chilo, so worth the money. 😊",positive
"service fast chilo, so definitely recommend korbo. 👍",positive
"movie okay chilo, so nothing special. 🤔",neutral
"staff caring chilo, so overall khub satisfied. 😊",positive
"delivery khub late chilo, so not worth it. 😤",negative
"delivery taratari esheche, so worth the money. 💯",positive
"movie onek lamba chilo, so not worth it. 🤦",negative
"movie onek lamba chilo, so not worth it. 😤",negative
"story weak chilo, so abar try korbo na. 😡",negative
"service thik chilo, so thik chilo. 🙂",neutral
"product damaged esheche, so abar try korbo na. 👎",negative
"doctor polite chilen, so definitely recommend korbo. 💯",positive
"staff caring chilo, so worth the money. 😊",positive
"movie onek lamba chilo, so abar try korbo na. 😤",negative
"service fast chilo, so worth the money. 👍",positive
"treatment effective chilo, so worth the money. 👏",positive
"music khub bhalo, so worth the money. 👏",positive
"treatment effective chilo, so definitely recommend korbo. 😍",positive
"service normal chilo, so nothing special. 😐",neutral
"story khub interesting chilo, so overall khub satisfied. 👍",positive
"experience average chilo, so thik chilo. 😐",neutral
"service thik chilo, so nothing special. 🙂",neutral
"price beshi mone holo, so not worth it. 😡",negative
"customer support reply koreni, so khub disappointed. 😡",negative
"service fast chilo, so definitely recommend korbo. 👏",positive
"treatment effective chilo, so worth the money. 👍",positive
"waiting time onek beshi chilo, so not worth it. 😠",negative
"price beshi mone holo, so khub disappointed. 😡",negative
"customer support reply koreni, so khub disappointed. 😠",negative
"service slow chilo, so abar try korbo na. 😤",negative
"doctor polite chilen, so worth the money. 😍",positive
"packaging neat chilo, so worth the money. 💯",positive
"treatment effective chilo, so overall khub satisfied. 👍",positive
"price worth mone holo, so overall khub satisfied. 😊",positive
"price worth mone holo, so overall khub satisfied. 😍",positive
"treatment effective chilo, so worth the money. 💯",positive
"product okay chilo, so thik chilo. 🙂",neutral
"service normal chilo, so thik chilo. 😐",neutral
"delivery taratari esheche, so worth the money. 💯",positive
